participant_id,trip_id,source_file,raw_point_index,point_index,latitude,longitude,elevation_m,timestamp_raw,timestamp_utc,trim_action
P01,T01,P01_T01,1,1,52.22256846272216,6.8928229968256005,41.49134761388133,2026-06-06T11:19:27Z,2026-06-06T11:19:27Z,kept_untrimmed
P01,T01,P01_T01,2,2,52.222498391603125,6.892808128158711,41.47830774371434,2026-06-06T11:19:29Z,2026-06-06T11:19:29Z,kept_untrimmed
P01,T01,P01_T01,3,3,52.22258895297185,6.8928569723439725,41.0693457974121,2026-06-06T11:19:44Z,2026-06-06T11:19:44Z,kept_untrimmed
P01,T01,P01_T01,4,4,52.22267951392758,6.892802748823596,41.294671098701656,2026-06-06T11:19:49Z,2026-06-06T11:19:49Z,kept_untrimmed
P01,T01,P01_T01,5,5,52.222813944748125,6.892713141364561,41.151979819871485,2026-06-06T11:19:52Z,2026-06-06T11:19:52Z,kept_untrimmed
P01,T01,P01_T01,6,6,52.222936310917206,6.892656423410256,41.174131223000586,2026-06-06T11:19:54Z,2026-06-06T11:19:54Z,kept_untrimmed
P01,T01,P01_T01,7,7,52.22304958809399,6.892662084402003,40.4005035944283,2026-06-06T11:19:55Z,2026-06-06T11:19:55Z,kept_untrimmed
P01,T01,P01_T01,8,8,52.22312044293729,6.892570867116376,40.28370696119964,2026-06-06T11:20:00Z,2026-06-06T11:20:00Z,kept_untrimmed
P01,T01,P01_T01,9,9,52.22318352792881,6.892428826700775,40.77341982163489,2026-06-06T11:20:05Z,2026-06-06T11:20:05Z,kept_untrimmed
P01,T01,P01_T01,10,10,52.223253929563505,6.892291195840211,40.0871655177325,2026-06-06T11:20:10Z,2026-06-06T11:20:10Z,kept_untrimmed
P01,T01,P01_T01,11,11,52.223343917949144,6.892226872104831,39.811068014241755,2026-06-06T11:20:13Z,2026-06-06T11:20:13Z,kept_untrimmed
P01,T01,P01_T01,12,12,52.22344944204135,6.892125399325542,40.08113669510931,2026-06-06T11:20:17Z,2026-06-06T11:20:17Z,kept_untrimmed
P01,T01,P01_T01,13,13,52.22354862820616,6.892000515966899,38.745307485572994,2026-06-06T11:20:20Z,2026-06-06T11:20:20Z,kept_untrimmed
P01,T01,P01_T01,14,14,52.22365383018614,6.891893261409117,37.66167684458196,2026-06-06T11:20:23Z,2026-06-06T11:20:23Z,kept_untrimmed
P01,T01,P01_T01,15,15,52.223772241654906,6.891824566627437,37.21407209523022,2026-06-06T11:20:26Z,2026-06-06T11:20:26Z,kept_untrimmed
P01,T01,P01_T01,16,16,52.22388152296666,6.891762483485372,37.02248429879546,2026-06-06T11:20:29Z,2026-06-06T11:20:29Z,kept_untrimmed
P01,T01,P01_T01,17,17,52.22397498084467,6.891717388446416,36.337964546866715,2026-06-06T11:20:32Z,2026-06-06T11:20:32Z,kept_untrimmed
P01,T01,P01_T01,18,18,52.22407725847678,6.891728791510481,38.24060201924294,2026-06-06T11:20:36Z,2026-06-06T11:20:36Z,kept_untrimmed
P01,T01,P01_T01,19,19,52.22418140726629,6.891738632796393,39.33680334221572,2026-06-06T11:20:40Z,2026-06-06T11:20:40Z,kept_untrimmed
P01,T01,P01_T01,20,20,52.22425487009088,6.8916468961094495,38.2919992711395,2026-06-06T11:20:43Z,2026-06-06T11:20:43Z,kept_untrimmed
P01,T01,P01_T01,21,21,52.224364201082935,6.891607659890689,38.46282281726599,2026-06-06T11:20:47Z,2026-06-06T11:20:47Z,kept_untrimmed
P01,T01,P01_T01,22,22,52.22446923494825,6.891600345044384,38.657550264149904,2026-06-06T11:20:51Z,2026-06-06T11:20:51Z,kept_untrimmed
P01,T01,P01_T01,23,23,52.22456887503282,6.891617565207735,37.29665637295693,2026-06-06T11:20:54Z,2026-06-06T11:20:54Z,kept_untrimmed
P01,T01,P01_T01,24,24,52.2246608063723,6.891619806244061,38.35371440090239,2026-06-06T11:20:57Z,2026-06-06T11:20:57Z,kept_untrimmed
P01,T01,P01_T01,25,25,52.22477078489688,6.8916284772365,38.968703942373395,2026-06-06T11:20:59Z,2026-06-06T11:20:59Z,kept_untrimmed
P01,T01,P01_T01,26,26,52.224895283828744,6.891646771237113,39.19666114356369,2026-06-06T11:21:01Z,2026-06-06T11:21:01Z,kept_untrimmed
P01,T01,P01_T01,27,27,52.225035710115456,6.891619453651731,39.371755573898554,2026-06-06T11:21:03Z,2026-06-06T11:21:03Z,kept_untrimmed
P01,T01,P01_T01,28,28,52.225139391680365,6.891589482785048,39.69982019998133,2026-06-06T11:21:05Z,2026-06-06T11:21:05Z,kept_untrimmed
P01,T01,P01_T01,29,29,52.22526335792244,6.891511729221275,38.80089831817895,2026-06-06T11:21:08Z,2026-06-06T11:21:08Z,kept_untrimmed
P01,T01,P01_T01,30,30,52.22537392954752,6.891354325594335,37.66465458460152,2026-06-06T11:21:10Z,2026-06-06T11:21:10Z,kept_untrimmed
P01,T01,P01_T01,31,31,52.22555789172378,6.891252064263342,38.30507203191519,2026-06-06T11:21:12Z,2026-06-06T11:21:12Z,kept_untrimmed
P01,T01,P01_T01,32,32,52.22568773714834,6.89117583079011,38.687647935934365,2026-06-06T11:21:14Z,2026-06-06T11:21:14Z,kept_untrimmed
P01,T01,P01_T01,33,33,52.225822161940116,6.891069338359201,38.29117555823177,2026-06-06T11:21:16Z,2026-06-06T11:21:16Z,kept_untrimmed
P01,T01,P01_T01,34,34,52.22596452731276,6.890988588833895,38.61074398923665,2026-06-06T11:21:18Z,2026-06-06T11:21:18Z,kept_untrimmed
P01,T01,P01_T01,35,35,52.22611316764557,6.890953443470405,38.85894750151783,2026-06-06T11:21:20Z,2026-06-06T11:21:20Z,kept_untrimmed
P01,T01,P01_T01,36,36,52.22625410198073,6.890916109877917,39.562800767831504,2026-06-06T11:21:22Z,2026-06-06T11:21:22Z,kept_untrimmed
